instance,set,rule,relax,status,solved,nodes,time,uplo,loup,timeout
abelbis.bch,unsolved,smearsumrel,xtaylor,timeout,0,177704,600.0005080000002,-6473990358518078,794890470495.0205,600.0
abelter-1.bch,unsolved,largestfirst,both,timeout,0,117100,600.0032010000002,9.087677628146056e-28,279.53858982069096,600.0
abelter-1.bch,unsolved,lsmear,both,timeout,0,64998,600.0038770000002,73.56672209002575,243.94544810350433,600.0
abelter-1.bch,unsolved,lsmear-box,both,timeout,0,64976,600.0043730000003,73.23082501714394,243.76794782563064,600.0
abelter-1.bch,unsolved,roundrobin,both,timeout,0,42158,600.0069300000001,56.16127055718375,275.0728317927882,600.0
abelter-1.bch,unsolved,smearmax,both,timeout,0,58880,600.0150930000002,67.89329301713629,235.60511686819072,600.0
abelter-1.bch,unsolved,smearmaxrel,both,timeout,0,91516,600.0047970000003,4.811827183892824,238.09691108338032,600.0
abelter-1.bch,unsolved,smearsum,both,timeout,0,61594,600.0111280000002,60.307053132250054,228.30490324348224,600.0
abelter-1.bch,unsolved,smearsumrel,both,timeout,0,51010,600.0023630000003,51.77569484324617,230.19060715838305,600.0
abelter-1.bch,unsolved,largestfirst,xtaylor,timeout,0,171578,600.0015630000001,3.8370194429950014e-27,293.7395534728334,600.0
abelter-1.bch,unsolved,lsmear,xtaylor,timeout,0,67562,600.0117690000002,72.9055775827599,240.46683722099488,600.0
abelter-1.bch,unsolved,lsmear-box,xtaylor,timeout,0,63732,600.0272090000003,73.83518024236906,266.3688837506592,600.0
abelter-1.bch,unsolved,roundrobin,xtaylor,timeout,0,52314,600.0192910000001,46.7370309738347,235.76405464300746,600.0
abelter-1.bch,unsolved,smearmax,xtaylor,timeout,0,76526,600.0124880000002,56.24375414103302,259.96313358154595,600.0
abelter-1.bch,unsolved,smearmaxrel,xtaylor,timeout,0,123696,600.0006740000001,16.845432160975022,240.9911978840629,600.0
abelter-1.bch,unsolved,smearsum,xtaylor,timeout,0,87072,600.0049680000002,53.4763223922454,255.6397290899725,600.0
abelter-1.bch,unsolved,smearsumrel,xtaylor,timeout,0,101920,600.0061460000002,51.32017738322682,231.26093907373084,600.0
ackley_5.bch,easy,largestfirst,affine,complete,1,410,0.14414500000000005,-8.284590578000461e-07,-7.453231702925223e-07,60.0
ackley_5.bch,easy,lsmear,affine,complete,1,140,0.05555400000000001,-8.284590578000461e-07,-8.284590364837641e-07,60.0
ackley_5.bch,easy,lsmear-box,affine,complete,1,140,0.055314000000000016,-8.284590578000461e-07,-8.284590364837641e-07,60.0
ackley_5.bch,easy,roundrobin,affine,complete,1,12,0.005471000000000001,-8.284590578000461e-07,-8.284590364837641e-07,60.0
ackley_5.bch,easy,smearmax,affine,complete,1,140,0.05504200000000001,-8.284590578000461e-07,-8.284590364837641e-07,60.0
ackley_5.bch,easy,smearmaxrel,affine,complete,1,140,0.05627900000000001,-8.284590578000461e-07,-8.284590364837641e-07,60.0
ackley_5.bch,easy,smearsum,affine,complete,1,140,0.055657000000000005,-8.284590578000461e-07,-8.284590364837641e-07,60.0
ackley_5.bch,easy,smearsumrel,affine,complete,1,140,0.05544800000000001,-8.284590578000461e-07,-8.284590364837641e-07,60.0
ackley_5.bch,easy,largestfirst,both,complete,1,366,0.16300300000000006,-8.284590578000461e-07,-7.734256293190356e-07,600.0
ackley_5.bch,easy,lsmear,both,complete,1,126,0.06561300000000003,-8.284590578000461e-07,-8.284590364837641e-07,600.0
ackley_5.bch,easy,lsmear-box,both,complete,1,126,0.06556100000000001,-8.284590578000461e-07,-8.284590364837641e-07,600.0
ackley_5.bch,easy,roundrobin,both,complete,1,12,0.006238000000000003,-8.284590578000461e-07,-8.284590364837641e-07,600.0
ackley_5.bch,easy,smearmax,both,complete,1,126,0.07220400000000002,-8.284590578000461e-07,-8.284590364837641e-07,600.0
ackley_5.bch,easy,smearmaxrel,both,complete,1,126,0.06489000000000003,-8.284590578000461e-07,-8.284590364837641e-07,600.0
ackley_5.bch,easy,smearsum,both,complete,1,126,0.06476400000000002,-8.284590578000461e-07,-8.284590364837641e-07,600.0
ackley_5.bch,easy,smearsumrel,both,complete,1,126,0.06928600000000001,-8.284590578000461e-07,-8.284590364837641e-07,600.0
ackley_5.bch,easy,largestfirst,xtaylor,complete,1,366,0.12709200000000004,-8.284590578000461e-07,-7.734256293190356e-07,10
ackley_5.bch,easy,lsmear,xtaylor,complete,1,126,0.044378000000000015,-8.284590578000461e-07,-8.284590364837641e-07,10
ackley_5.bch,easy,lsmear-box,xtaylor,complete,1,126,0.04389600000000001,-8.284590578000461e-07,-8.284590364837641e-07,10
ackley_5.bch,easy,roundrobin,xtaylor,complete,1,12,0.002764,-8.284590578000461e-07,-8.284590364837641e-07,10
ackley_5.bch,easy,smearmax,xtaylor,complete,1,126,0.043527,-8.284590578000461e-07,-8.284590364837641e-07,10
ackley_5.bch,easy,smearmaxrel,xtaylor,complete,1,126,0.043615000000000015,-8.284590578000461e-07,-8.284590364837641e-07,10
ackley_5.bch,easy,smearsum,xtaylor,complete,1,126,0.043361000000000004,-8.284590578000461e-07,-8.284590364837641e-07,10
ackley_5.bch,easy,smearsumrel,xtaylor,complete,1,126,0.04358400000000001,-8.284590578000461e-07,-8.284590364837641e-07,10
aircraftb.bch,coconutbenchmark-library2,largestfirst,both,complete,1,35118,19.292911000000004,0,4.1899752140815977e-08,600.0
aircraftb.bch,coconutbenchmark-library2,lsmear,both,complete,1,2888,2.078926000000001,0,5.3332261686616916e-08,600.0
aircraftb.bch,coconutbenchmark-library2,lsmear-box,both,complete,1,2888,2.0768860000000005,0,5.3332261686616916e-08,600.0
aircraftb.bch,coconutbenchmark-library2,roundrobin,both,complete,1,1024,0.6400890000000002,0,2.637262287301443e-08,600.0
aircraftb.bch,coconutbenchmark-library2,smearmax,both,complete,1,2888,1.9373960000000006,0,5.3332261686616916e-08,600.0
aircraftb.bch,coconutbenchmark-library2,smearmaxrel,both,complete,1,2888,1.9458230000000005,0,5.3332261686616916e-08,600.0
aircraftb.bch,coconutbenchmark-library2,smearsum,both,complete,1,2888,1.9543440000000003,0,5.3332261686616916e-08,600.0
aircraftb.bch,coconutbenchmark-library2,smearsumrel,both,complete,1,2888,1.9665600000000005,0,5.3332261686616916e-08,600.0
aircraftb.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,0,1460366,600.0008750000002,0,1.762150566622567e-05,600.0
aircraftb.bch,coconutbenchmark-library2,lsmear,xtaylor,complete,1,4436,3.2049200000000004,0,7.837958004128884e-08,10
aircraftb.bch,coconutbenchmark-library2,lsmear-box,xtaylor,complete,1,4436,3.166747000000001,0,7.837958004128884e-08,10
aircraftb.bch,coconutbenchmark-library2,roundrobin,xtaylor,complete,1,958,0.5332420000000001,0,4.571373389228182e-08,10
aircraftb.bch,coconutbenchmark-library2,smearmax,xtaylor,complete,1,4436,2.985766000000001,0,7.837958004128884e-08,10
aircraftb.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,complete,1,4436,3.009738000000001,0,7.837958004128884e-08,10
aircraftb.bch,coconutbenchmark-library2,smearsum,xtaylor,complete,1,4436,3.011499000000001,0,7.837958004128884e-08,10
aircraftb.bch,coconutbenchmark-library2,smearsumrel,xtaylor,complete,1,4436,3.023626000000001,0,7.837958004128884e-08,10
alkyl.bch,medium,largestfirst,both,complete,1,968,2.564661000000001,-1.7652200379478282,-1.7634548179098806,600.0
alkyl.bch,medium,lsmear,both,complete,1,62,0.2816680000000001,-1.7664861888475087,-1.7647197026586614,600.0
alkyl.bch,medium,lsmear-box,both,complete,1,30,0.15350300000000003,-1.7652890427352277,-1.7635237536924926,600.0
alkyl.bch,medium,roundrobin,both,complete,1,152,0.5480520000000001,-1.7655098842765473,-1.763744374392271,600.0
alkyl.bch,medium,smearmax,both,complete,1,232,0.8168490000000003,-1.7652012489436482,-1.7634360476947046,600.0
alkyl.bch,medium,smearmaxrel,both,complete,1,282,1.0791800000000003,-1.7661828492243639,-1.7644166663751397,600.0
alkyl.bch,medium,smearsum,both,complete,1,214,0.7336260000000001,-1.7652450625615723,-1.763479817499011,600.0
alkyl.bch,medium,smearsumrel,both,complete,1,240,0.8313390000000002,-1.7654552119341924,-1.7636897567222585,600.0
alkyl.bch,medium,largestfirst,xtaylor,complete,1,1656,3.6818110000000006,-1.766006954215082,-1.764240947260867,10
alkyl.bch,medium,lsmear,xtaylor,complete,1,54,0.2370700000000001,-1.7650549973490683,-1.7649670196605722,10
alkyl.bch,medium,lsmear-box,xtaylor,complete,1,54,0.23742500000000005,-1.7650549973490683,-1.7649670196605722,10
alkyl.bch,medium,roundrobin,xtaylor,complete,1,148,0.48079800000000017,-1.7662665959338808,-1.764500329337947,10
alkyl.bch,medium,smearmax,xtaylor,complete,1,224,0.6454840000000002,-1.7652044632317956,-1.7634392587685639,10
alkyl.bch,medium,smearmaxrel,xtaylor,complete,1,318,0.9370770000000003,-1.7663789400202117,-1.7646125610801917,10
alkyl.bch,medium,smearsum,xtaylor,complete,1,210,0.6092250000000002,-1.7663523096070128,-1.764585957297406,10
alkyl.bch,medium,smearsumrel,xtaylor,complete,1,156,0.4671010000000001,-1.7650760914986263,-1.7633110154071279,10
alkylbis.bch,medium,largestfirst,both,complete,1,1182,3.078180000000001,-1.7667477386257753,-1.7649809908871497,600.0
alkylbis.bch,medium,lsmear,both,complete,1,60,0.2672040000000001,-1.7667622715868085,-1.7649955093152219,600.0
alkylbis.bch,medium,lsmear-box,both,complete,1,52,0.24105800000000002,-1.7650027276170661,-1.7649929152334476,600.0
alkylbis.bch,medium,roundrobin,both,complete,1,148,0.5426950000000001,-1.7653769535289483,-1.7636115765754194,600.0
alkylbis.bch,medium,smearmax,both,complete,1,220,0.8230720000000002,-1.766759528723027,-1.7649927691943041,600.0
alkylbis.bch,medium,smearmaxrel,both,complete,1,248,0.8809020000000002,-1.7667668116886357,-1.7650000448769472,600.0
alkylbis.bch,medium,smearsum,both,complete,1,280,0.9980590000000004,-1.766452196138575,-1.7646857439424366,600.0
alkylbis.bch,medium,smearsumrel,both,complete,1,268,0.9254460000000002,-1.7657672456258593,-1.7640014783802336,600.0
alkylbis.bch,medium,largestfirst,xtaylor,complete,1,1530,3.334333000000001,-1.765271209412038,-1.7635059382026261,10
alkylbis.bch,medium,lsmear,xtaylor,complete,1,48,0.21566500000000002,-1.7650600494037825,-1.7649615298007149,10
alkylbis.bch,medium,lsmear-box,xtaylor,complete,1,48,0.21666200000000005,-1.7650600494037825,-1.7649615298007149,10
alkylbis.bch,medium,roundrobin,xtaylor,complete,1,176,0.5461280000000002,-1.766602698200977,-1.7648360955027762,10
alkylbis.bch,medium,smearmax,xtaylor,complete,1,266,0.8133170000000001,-1.7652670900275356,-1.7635018229375081,10
alkylbis.bch,medium,smearmaxrel,xtaylor,complete,1,288,0.9152720000000002,-1.7666140582963092,-1.764847444238013,10
alkylbis.bch,medium,smearsum,xtaylor,complete,1,278,0.8181540000000003,-1.7659982342976883,-1.7642322360633909,10
alkylbis.bch,medium,smearsumrel,xtaylor,complete,1,186,0.5843340000000001,-1.7665957018608283,-1.7648291061589676,10
avgasa.bch,coconutbenchmark-library2,largestfirst,both,timeout,0,431672,600.0001080000001,-6.2475762310809575,-4.409670095662158,600.0
