instance,set,rule,relax,status,nodes,time,loup,uplo,timeout
brownal.bch,coconutbenchmark-library2,lsmear-box,xtaylor,timeout,256284,10.000064000000004,3.4060331638127953e+21,0,10
brownal.bch,coconutbenchmark-library2,smearsumrel,xtaylor,timeout,257012,10.000137000000006,3.4060331638127953e+21,0,10
brownal.bch,coconutbenchmark-library2,smearsum,xtaylor,timeout,259290,10.000053000000005,3.4060331638127953e+21,0,10
brownal.bch,coconutbenchmark-library2,smearmax,xtaylor,timeout,258436,10.000046000000005,3.4060331638127953e+21,0,10
brownal.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,timeout,254058,10.000057000000004,3.4060331638127953e+21,0,10
brownal.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,282412,10.000078000000004,3.4060331638127953e+21,0,10
brownal.bch,coconutbenchmark-library2,roundrobin,xtaylor,timeout,289244,10.000025000000003,1.2180865918345067e+21,0,10
catena.bch,coconutbenchmark-library2,lsmear,xtaylor,timeout,1562,10.011080000000003,-5661.256996047489,-26977.50013488753,10
catena.bch,coconutbenchmark-library2,lsmear-box,xtaylor,timeout,1564,10.012887000000005,-5661.256996047489,-26977.50013488753,10
catena.bch,coconutbenchmark-library2,smearsumrel,xtaylor,timeout,1592,10.006687000000003,-5661.256996047489,-26977.50013488753,10
catena.bch,coconutbenchmark-library2,smearsum,xtaylor,timeout,1532,10.008281000000004,-6015.41738847034,-25328.96804394643,10
catena.bch,coconutbenchmark-library2,smearmax,xtaylor,timeout,1656,10.011065000000004,-6015.41738847034,-25019.868276894973,10
catena.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,timeout,2190,10.009795000000002,-7489.569724494053,-26977.50013488753,10
catena.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,3622,10.004383000000004,-10375.67123027457,-26977.50013488753,10
catena.bch,coconutbenchmark-library2,roundrobin,xtaylor,timeout,1770,10.002775000000003,-12404.014569951027,-26976.582824615856,10
chakra-1.bch,unsolved,lsmear,xtaylor,timeout,242,10.044540000000003,inf,-220.1943987446711,10
chakra-1.bch,unsolved,lsmear-box,xtaylor,timeout,288,10.049103000000004,inf,-217.5723549249814,10
chakra-1.bch,unsolved,smearsumrel,xtaylor,timeout,512,10.003925000000004,-175.06574436441264,-218.3626690334821,10
chakra-1.bch,unsolved,smearsum,xtaylor,timeout,392,10.000036000000003,-165.33492402346596,-218.87307327119768,10
chakra-1.bch,unsolved,smearmax,xtaylor,timeout,268,10.007669000000003,inf,-218.87307327119768,10
chakra-1.bch,unsolved,smearmaxrel,xtaylor,timeout,596,10.021113000000003,inf,-226.9357296724984,10
chakra-1.bch,unsolved,largestfirst,xtaylor,timeout,604,10.015423000000002,inf,-224.26848034250747,10
chakra-1.bch,unsolved,roundrobin,xtaylor,timeout,388,10.036759000000004,inf,-218.37039299694644,10
chakra.bch,unsolved,lsmear,xtaylor,timeout,248,10.089227000000003,inf,-222.1655396205129,10
chakra.bch,unsolved,lsmear-box,xtaylor,timeout,308,10.015092000000005,inf,-220.39885446173983,10
chakra.bch,unsolved,smearsumrel,xtaylor,timeout,446,10.009401000000004,-170.6804101597604,-220.27729101021288,10
chakra.bch,unsolved,smearsum,xtaylor,timeout,338,10.037194000000005,inf,-220.6384124302837,10
chakra.bch,unsolved,smearmax,xtaylor,timeout,254,10.051347000000003,inf,-220.55701445011638,10
chakra.bch,unsolved,smearmaxrel,xtaylor,timeout,570,10.004435000000003,inf,-231.5004706656992,10
chakra.bch,unsolved,largestfirst,xtaylor,timeout,522,10.023572000000003,inf,-228.55001291826667,10
chakra.bch,unsolved,roundrobin,xtaylor,timeout,344,10.014040000000003,inf,-220.16012707914516,10
chance.bch,easy,lsmear,xtaylor,complete,12,0.016262000000000006,29.901888379986367,29.87201636362275,10
chance.bch,easy,lsmear-box,xtaylor,complete,12,0.01570000000000001,29.901888379986367,29.87201636362275,10
chance.bch,easy,smearsumrel,xtaylor,complete,14,0.017809000000000002,29.895148203813626,29.87646803266639,10
chance.bch,easy,smearsum,xtaylor,complete,14,0.017921000000000006,29.895148203813626,29.87646803266639,10
chance.bch,easy,smearmax,xtaylor,complete,14,0.017910000000000006,29.895148203813626,29.87646803266639,10
chance.bch,easy,smearmaxrel,xtaylor,complete,14,0.017716000000000006,29.895148203813626,29.87646803266639,10
chance.bch,easy,largestfirst,xtaylor,complete,8,0.017169000000000004,29.89949795537895,29.869628327051903,10
chance.bch,easy,roundrobin,xtaylor,complete,12,0.013473000000000006,29.91459617925953,29.88471146779174,10
chem-1.bch,hard,lsmear,xtaylor,timeout,4430,10.003738000000004,-47.47141069264233,-108.62282408917162,10
chem-1.bch,hard,lsmear-box,xtaylor,timeout,4468,10.002245000000004,-47.46198607764642,-107.92387942755452,10
chem-1.bch,hard,smearsumrel,xtaylor,timeout,5468,10.000993000000003,-47.36186966470623,-88.8933372601772,10
chem-1.bch,hard,smearsum,xtaylor,timeout,4594,10.003082000000004,-47.44288090503827,-107.89783611540757,10
chem-1.bch,hard,smearmax,xtaylor,timeout,4568,10.000332000000004,-47.44288090503827,-107.05819802849416,10
chem-1.bch,hard,smearmaxrel,xtaylor,timeout,4388,10.000583000000004,-47.46412834170982,-107.30523752263859,10
chem-1.bch,hard,largestfirst,xtaylor,timeout,7274,10.002655000000004,-47.49080161862051,-194.34396170077758,10
chem-1.bch,hard,roundrobin,xtaylor,timeout,5868,10.002953000000003,-47.61591053474173,-84.51751987616196,10
chem.bch,hard,lsmear,xtaylor,timeout,4400,10.003577000000002,-47.47141069264233,-108.65017276199877,10
chem.bch,hard,lsmear-box,xtaylor,timeout,4406,10.006315000000003,-47.46198607764642,-108.10459014899331,10
chem.bch,hard,smearsumrel,xtaylor,timeout,5406,10.001547000000002,-47.36186966470623,-88.89333726017722,10
chem.bch,hard,smearsum,xtaylor,timeout,4562,10.001363000000005,-47.44288090503827,-108.07876359376633,10
chem.bch,hard,smearmax,xtaylor,timeout,4588,10.005912000000004,-47.44288090503827,-107.05819802849416,10
chem.bch,hard,smearmaxrel,xtaylor,timeout,4350,10.000187000000004,-47.46412834170982,-107.78129746765732,10
chem.bch,hard,largestfirst,xtaylor,timeout,7218,10.001020000000002,-47.49080161862051,-194.34396170077758,10
chem.bch,hard,roundrobin,xtaylor,timeout,5758,10.002139000000001,-47.61591053474173,-84.68100169825193,10
chembis.bch,hard,lsmear,xtaylor,timeout,4766,10.000283000000005,-47.514945461763666,-89.17562754228882,10
chembis.bch,hard,lsmear-box,xtaylor,timeout,4916,10.000578000000006,-47.52085526780572,-88.00560000707398,10
chembis.bch,hard,smearsumrel,xtaylor,timeout,4932,10.003227000000004,-47.66116606475185,-87.85030327723467,10
chembis.bch,hard,smearsum,xtaylor,timeout,5066,10.003010000000003,-47.51494546176366,-87.14608539470147,10
chembis.bch,hard,smearmax,xtaylor,timeout,5390,10.000311000000004,-47.514945461763666,-86.03457704778793,10
chembis.bch,hard,smearmaxrel,xtaylor,timeout,4736,10.001152000000005,-47.46412834609737,-92.76277008543413,10
chembis.bch,hard,largestfirst,xtaylor,timeout,7104,10.002330000000002,-47.561383212594855,-176.92965974444985,10
chembis.bch,hard,roundrobin,xtaylor,timeout,5704,10.005092000000001,-47.53697874757222,-81.06143447602285,10
chenery-1.bch,unsolved,lsmear,xtaylor,timeout,386,10.050807000000004,inf,-1436.1585805122238,10
chenery-1.bch,unsolved,lsmear-box,xtaylor,timeout,460,10.041922000000003,inf,-1415.3183247361835,10
chenery-1.bch,unsolved,smearsumrel,xtaylor,timeout,504,10.068188000000005,inf,-1756.8004176163226,10
chenery-1.bch,unsolved,smearsum,xtaylor,timeout,282,10.044311000000004,inf,-1579.6749743462585,10
chenery-1.bch,unsolved,smearmax,xtaylor,timeout,292,10.007502000000004,inf,-1529.5060503118962,10
chenery-1.bch,unsolved,smearmaxrel,xtaylor,timeout,440,10.004087000000004,inf,-1877.6179709069302,10
chenery-1.bch,unsolved,largestfirst,xtaylor,timeout,790,10.000094000000002,-236.5897733807516,-2092.830613618587,10
chenery-1.bch,unsolved,roundrobin,xtaylor,timeout,338,10.002405000000005,inf,-1610.575276765338,10
chenery.bch,unsolved,lsmear,xtaylor,timeout,606,10.026921000000003,inf,-1145.0923279169021,10
chenery.bch,unsolved,lsmear-box,xtaylor,timeout,566,10.000488,inf,-1132.770437824965,10
chenery.bch,unsolved,smearsumrel,xtaylor,timeout,594,10.005886000000004,inf,-1267.626679490069,10
chenery.bch,unsolved,smearsum,xtaylor,timeout,388,10.033676000000003,-1017.9596897739029,-1259.199205563772,10
chenery.bch,unsolved,smearmax,xtaylor,timeout,424,10.007206000000004,inf,-1222.6296448473527,10
chenery.bch,unsolved,smearmaxrel,xtaylor,timeout,466,10.067867000000003,inf,-1228.3336088741755,10
chenery.bch,unsolved,largestfirst,xtaylor,timeout,854,10.004408000000003,inf,-1434.9307408640384,10
chenery.bch,unsolved,roundrobin,xtaylor,timeout,334,10.060402000000002,-1025.892918880186,-1308.3277603785214,10
concon.bch,coconutbenchmark-library2,lsmear,xtaylor,timeout,58342,10.002567000000004,inf,-42003638.92000001,10
concon.bch,coconutbenchmark-library2,lsmear-box,xtaylor,timeout,58392,10.000323000000005,inf,-42003638.92000001,10
concon.bch,coconutbenchmark-library2,smearsumrel,xtaylor,timeout,70246,10.000489000000002,inf,-42003638.92000001,10
concon.bch,coconutbenchmark-library2,smearsum,xtaylor,timeout,60662,10.000229000000004,inf,-42003638.92000001,10
concon.bch,coconutbenchmark-library2,smearmax,xtaylor,timeout,68214,10.000595000000002,inf,-42003638.92000001,10
concon.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,timeout,78124,10.000748000000003,inf,-42003638.92000001,10
concon.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,54378,10.000102000000004,inf,-42003638.91999964,10
concon.bch,coconutbenchmark-library2,roundrobin,xtaylor,timeout,13950,10.000034000000005,inf,-9027638.920000002,10
cresc4.bch,coconutbenchmark-library2,lsmear,xtaylor,timeout,6666,10.002572000000002,5187761.2900390625,-1.483632916401483e+17,10
cresc4.bch,coconutbenchmark-library2,lsmear-box,xtaylor,timeout,7260,10.000472000000004,5187761.2900390625,-1.483632916401483e+17,10
cresc4.bch,coconutbenchmark-library2,smearsumrel,xtaylor,timeout,7696,10.002465000000004,5187761.2900390625,-1.483632916401483e+17,10
cresc4.bch,coconutbenchmark-library2,smearsum,xtaylor,timeout,7798,10.001298000000004,5188637.375,-1.483632916401483e+17,10
cresc4.bch,coconutbenchmark-library2,smearmax,xtaylor,timeout,7824,10.000161000000004,5191029.44921875,-1.483632916401483e+17,10
cresc4.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,timeout,7398,10.000540000000004,5189938.59375,-1.483632916401483e+17,10
cresc4.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,8538,10.000817000000003,175924.11328125,-1.4836331768193613e+17,10
cresc4.bch,coconutbenchmark-library2,roundrobin,xtaylor,timeout,7150,10.000482000000003,20311110.89074707,-1.2370026268919281e+28,10
dipigri.bch,coconutbenchmark-library2,lsmear,xtaylor,complete,2678,4.5740690000000015,680.9215291195343,680.2412878317027,10
dipigri.bch,coconutbenchmark-library2,lsmear-box,xtaylor,complete,2464,4.197500000000002,680.9193817834374,680.2391426407968,10
dipigri.bch,coconutbenchmark-library2,smearsumrel,xtaylor,complete,3616,5.819380000000002,680.7786097534383,680.0985112421963,10
dipigri.bch,coconutbenchmark-library2,smearsum,xtaylor,complete,3562,5.6962670000000015,680.8118393971448,680.1317076894554,10
dipigri.bch,coconutbenchmark-library2,smearmax,xtaylor,complete,2934,4.856637000000002,680.8940543273466,680.2138404868598,10
dipigri.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,complete,4858,7.796169000000002,680.821953483239,680.1418116715676,10
dipigri.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,12116,10.001805000000003,725.4405361137191,468.34207992655126,10
dipigri.bch,coconutbenchmark-library2,roundrobin,xtaylor,complete,3400,5.377208000000002,680.7987548711112,680.1186362348765,10
disc2.bch,coconutbenchmark-library2,lsmear,xtaylor,complete,236,2.2452830000000006,1.5624999910193413,1.5609390519673743,10
disc2.bch,coconutbenchmark-library2,lsmear-box,xtaylor,complete,236,2.2366050000000004,1.5624999910193413,1.5609390519673743,10
disc2.bch,coconutbenchmark-library2,smearsumrel,xtaylor,complete,236,2.167893000000001,1.5624999910193413,1.5609390519673743,10
disc2.bch,coconutbenchmark-library2,smearsum,xtaylor,complete,348,3.959547000000001,1.5625220050369892,1.5609610439929964,10
disc2.bch,coconutbenchmark-library2,smearmax,xtaylor,timeout,900,10.012549000000003,1.619606901258098,0.9000000000000001,10
disc2.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,complete,688,8.536904000000002,1.5626337758842723,1.5610727031810914,10
